scen,fuel,rx,WS,time,TFL,TFC,ROS,ROSeq,HFI,Area,BUI,FFMC,LB,FROS,CFB,a,Prob
PIMAstrip_parallel12,PIMA,strip_parallel,12,35,1.8,4.09358177246537,14.7128229882332,15.1,18068.4432018423,5.17840897113937,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.151428160137708
PIMAstrip_parallel12,PIMA,strip_parallel,12,40,1.8,4.09358177246537,14.8705890078733,15.1,18262.1916325362,7.34217204072779,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0240209640752084
PIMAstrip_parallel12,PIMA,strip_parallel,12,45,1.8,4.09358177246537,14.9640688839753,15.1,18376.9918876073,9.90536720130655,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00234928583567619
PIMAstrip_parallel12,PIMA,strip_parallel,12,50,1.8,4.09358177246537,15.019457790002,15.1,18445.0135924396,12.8669206195842,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.000156422516647678
PIMAstrip_parallel12,PIMA,strip_parallel,12,55,1.8,4.09358177246537,15.0522769489351,15.1,18485.3179656784,16.2254566558411,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00000722642320110511
PIMAstrip_parallel12,PIMA,strip_parallel,12,60,1.8,4.09358177246537,15.0717230306568,15.1,18509.199203383,19.9797146210982,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.000000232346690636987
PIMAstrip_parallel25,PIMA,strip_parallel,25,2,1.8,4.09358177246537,4.7599287856512,25.2,5845.54731455249,0.000500277624833864,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953348724761635
PIMAstrip_parallel25,PIMA,strip_parallel,25,4,1.8,4.09358177246537,8.62077336318847,25.2,10586.952211231,0.00701165542410085,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.9530828650422
PIMAstrip_parallel25,PIMA,strip_parallel,25,6,1.8,4.09358177246537,11.7523582089184,25.2,14432.7718042536,0.0312367862991446,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.95208105129926
PIMAstrip_parallel25,PIMA,strip_parallel,25,8,1.8,4.09358177246537,14.2924303224301,25.2,17552.1696756394,0.0872626686857645,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.949685792270115
PIMAstrip_parallel25,PIMA,strip_parallel,25,10,1.8,4.09358177246537,16.352718214881,25.2,20082.3567644098,0.189119402077021,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.945038202139208
PIMAstrip_parallel25,PIMA,strip_parallel,25,12,1.8,4.09358177246537,18.0238464388395,25.2,22134.6267755245,0.349560272555437,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.936890350801425
PIMAstrip_parallel25,PIMA,strip_parallel,25,14,1.8,4.09358177246537,19.3793218319356,25.2,23799.2515841855,0.579557462066081,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.923233559134558
PIMAstrip_parallel25,PIMA,strip_parallel,25,16,1.8,4.09358177246537,20.4787668146412,25.2,25149.4519664952,0.888200100510507,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.900655708989964
PIMAstrip_parallel25,PIMA,strip_parallel,25,18,1.8,4.09358177246537,21.3705419631635,25.2,26244.6183144337,1.28280377479212,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.86333207567844
PIMAstrip_parallel25,PIMA,strip_parallel,25,20,1.8,4.09358177246537,22.0938732148691,25.2,27132.9230026647,1.76911782523262,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.80186507023127
PIMAstrip_parallel25,PIMA,strip_parallel,25,22,1.8,4.09358177246537,22.6805772742511,25.2,27853.43931566,2.35156495927443,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.703646382122739
PIMAstrip_parallel25,PIMA,strip_parallel,25,24,1.8,4.09358177246537,23.1564611137557,25.2,28437.860139022,3.03347737923956,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.559808725620962
PIMAstrip_parallel25,PIMA,strip_parallel,25,26,1.8,4.09358177246537,23.5424571284078,25.2,28911.8920139693,3.81731153486134,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.382897664594439
PIMAstrip_parallel25,PIMA,strip_parallel,25,28,1.8,4.09358177246537,23.8555438755483,25.2,29296.3858743577,4.70483413953299,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.215877559006089
PIMAstrip_parallel25,PIMA,strip_parallel,25,30,1.8,4.09358177246537,24.1094928996683,25.2,29608.2542032396,5.69727803122551,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0998850030786121
PIMAstrip_parallel25,PIMA,strip_parallel,25,35,1.8,4.09358177246537,24.5538502849984,25.2,30153.9581911539,8.64211298494783,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00743054645751717
PIMAstrip_parallel25,PIMA,strip_parallel,25,40,1.8,4.09358177246537,24.8171419204243,25.2,30477.2999430405,12.2531612865126,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00027434345860385
PIMAstrip_parallel25,PIMA,strip_parallel,25,45,1.8,4.09358177246537,24.9731480712701,25.2,30668.887123689,16.5308114882732,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00000546395593739898
PIMAstrip_parallel25,PIMA,strip_parallel,25,50,1.8,4.09358177246537,25.0655851859637,25.2,30782.4067900317,21.4732714975842,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0000000591915583980383
PIMAstrip_parallel25,PIMA,strip_parallel,25,55,1.8,4.09358177246537,25.1203562326599,25.2,30849.669717556,27.0782455448475,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00000000034960476587712
PIMAstrip_parallel25,PIMA,strip_parallel,25,60,1.8,4.09358177246537,25.1528092961955,25.2,30889.524498361,33.3436296987864,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00000000000112797317766035
PIMAstrip_perp12,PIMA,strip_perp,12,2,1.79,4.09358177246537,2.22885554248747,11.8,2737.20072665554,0.000234256983057127,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953359555871733
PIMAstrip_perp12,PIMA,strip_perp,12,4,1.79,4.09358177246537,4.03671133673111,11.8,4957.38238462404,0.00328323547636468,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953235272296915
PIMAstrip_perp12,PIMA,strip_perp,12,6,1.79,4.09358177246537,5.50308836766814,11.8,6758.20267024575,0.0146267491400757,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.952770113113139
PIMAstrip_perp12,PIMA,strip_perp,12,8,1.79,4.09358177246537,6.69248721447125,11.8,8218.87310208511,0.0408610908925406,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.951677432366701
PIMAstrip_perp12,PIMA,strip_perp,12,10,1.79,4.09358177246537,7.65722519585696,11.8,9403.64324682679,0.0885559104963829,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.949629185047873
PIMAstrip_perp12,PIMA,strip_perp,12,12,1.79,4.09358177246537,8.43973761818676,11.8,10364.6268234599,0.163682984768022,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.946235381050129
PIMAstrip_perp12,PIMA,strip_perp,12,14,1.79,4.09358177246537,9.0744443498746,11.8,11144.0939957694,0.271380081443641,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.940992566024781
PIMAstrip_perp12,PIMA,strip_perp,12,16,1.79,4.09358177246537,9.58926382590342,11.8,11776.3306827239,0.415903221667618,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.933202161960003
PIMAstrip_perp12,PIMA,strip_perp,12,18,1.79,4.09358177246537,10.0068410779892,11.8,12289.1466710443,0.600677958037578,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.92185179887936
PIMAstrip_perp12,PIMA,strip_perp,12,20,1.79,4.09358177246537,10.3455438069625,11.8,12705.0988663271,0.828396441974005,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.905448507949218
PIMAstrip_perp12,PIMA,strip_perp,12,22,1.79,4.09358177246537,10.6202703109589,11.8,13042.4834890789,1.10112962378724,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.881799278873164
PIMAstrip_perp12,PIMA,strip_perp,12,24,1.79,4.09358177246537,10.8431048072348,11.8,13316.1408587484,1.42043782043757,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.847771970131401
PIMAstrip_perp12,PIMA,strip_perp,12,26,1.79,4.09358177246537,11.0238489728259,11.8,13538.1081652714,1.78747127426047,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.799181774155575
PIMAstrip_perp12,PIMA,strip_perp,12,28,1.79,4.09358177246537,11.1704530845822,11.8,13718.1489411676,2.20305725581307,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.731194481392453
PIMAstrip_perp12,PIMA,strip_perp,12,30,1.79,4.09358177246537,11.2893657228605,11.8,13864.1825237391,2.6677730463675,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.639965117540769
PIMAstrip_perp12,PIMA,strip_perp,12,35,1.79,4.09358177246537,11.4974378318643,11.8,14119.710581572,4.04670369930097,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.334635957334519
PIMAstrip_perp12,PIMA,strip_perp,12,40,1.79,4.09358177246537,11.6207251849606,11.8,14271.1166399952,5.73759139606542,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0966151952548346
PIMAstrip_perp12,PIMA,strip_perp,12,45,1.79,4.09358177246537,11.6937756841662,11.8,14360.8280976005,7.7406180778422,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0168019054617415
